"flagged","Flag_1","Flag_2","Contextual","Veracity","Rebuttal","Lingual.overlap","Content.overlap","text_y","quote_tweets","date","favorites","retweets","day","id","replies","fraud","won","ballots"
"N","","",0,0,0,0,0,"Your far-left Dem Attorney General, and your Dem Governor tried to shut down our rally, silence the people of Minnesota, and take away your freedom of assembly. They thought we would cancel – but I said NO WAY, I will NEVER abandon the people of Minnesota! https://t.co/wF1uolGlf6",32000,"2020-10-31 0:04:19",115770,30252,"2020-10-31",1322328509923030016,9883,0,0,0
"N","","",0,0,0,0,0,"Biden has pledged a staggering 700% increase in refugees from the most dangerous and violent terrorist hot spots on earth. He has also vowed to terminate our national security travel bans, allowing for unlimited migration from war zones, and terrorist havens...",26000,"2020-10-31 0:23:32",112048,30160,"2020-10-31",1322333348333669888,16845,0,0,0
"N","","",0,0,0,0,0,"Joe Biden is a corrupt politician who has done nothing but betray you for 47 long years - selling out to lobbyists, China, big pharma &amp; foreign countries. He will stab you in the back. He only cares about political power &amp; he will use that power to hurt you &amp; enrich his cronies! https://t.co/8B9kZ5sdEJ",22000,"2020-10-31 0:29:19",87283,21598,"2020-10-31",1322334801374830080,13226,0,0,0
"N","","",0,0,0,0,0,"There is only one way to defend your dignity. There is only one way to defend your family and your Country. There is only one way to preserve, protect and defend the American Way of Life: you must show up and vote on November 3rd! https://t.co/gsFSgh2KPc https://t.co/14MbcBz2oH",21000,"2020-10-31 0:29:50",70888,19361,"2020-10-31",1322334932060940032,12521,0,0,0
"N","","",0,0,0,0,0,"MAKE AMERICA GREAT AGAIN!",6000,"2020-10-31 4:39:21",319215,43427,"2020-10-31",1322397726705900032,29121,0,0,0
"N","","",0,0,0,0,0,"“A Biden win would mean the end of Fracking in Pennsylvania, Texas, and everywhere else. Millions of jobs would be lost, and Energy prices would soar.” @OANN  And we would no longer be Energy Independent!!!",18000,"2020-10-31 5:20:51",104228,23024,"2020-10-31",1322408169147170048,12117,0,0,0
"N","","",0,0,0,0,0,"Suburban Women are trending strongly to our campaign because they want SAFETY, SECURITY, and love the fact that I terminated the REGULATION that would destroy their neighborhood and with it, the American Dream. Biden would bring the REGULATION back in a MUCH stronger form!!!",22000,"2020-10-31 5:42:35",114490,22224,"2020-10-31",1322413640021149952,19173,0,0,0
"N","","",0,0,0,0,0,"“President Obama meant a lot to Black people, but he didn’t do a thing for Black people”. Vernon Jones, Georgia State Represenative, Trump supporter. @ffweekend",18000,"2020-10-31 12:25:20",112081,23444,"2020-10-31",1322514994320300032,7718,0,0,0
"N","","",0,0,0,0,0,"I paid many millions of dollars in Taxes to the Federal Government, most of which was even paid early, or PREPAID. MANY $MILLIONS. The Failing @nytimes never likes reporting that!",27000,"2020-10-31 12:34:13",119026,23371,"2020-10-31",1322517229930480128,21935,0,0,0
"N","","",0,0,0,0,0,"Joe Biden will PACK THE COURT. Also, he never gave the answer who his Radical Left Justices will be!",16000,"2020-10-31 12:39:38",127838,22158,"2020-10-31",1322518594056570112,13590,0,0,0
"N","","",0,0,0,0,0,"Biden and the Radical Left are asking for the largest tax hike in the history of the U.S. Remember that when you VOTE!",16000,"2020-10-31 13:40:13",102562,21524,"2020-10-31",1322533839374350080,10808,0,0,0
"N","","",0,0,0,0,0,"Big win for our very elite U.S. Special Forces today. Details to follow!",38000,"2020-10-31 13:41:32",218672,33364,"2020-10-31",1322534172339150080,14498,0,0,0
"N","","",0,0,0,0,0,"Jim O’Neill (@JimONeillNC) will be a fantastic Attorney General for North Carolina! Strong on Law &amp; Order, the Constitution, and the Second Amendment, Jim has my Complete and Total Endorsement! https://t.co/Oekn8B8l46",181,"2020-10-31 15:06:56",26212,5605,"2020-10-31",1322555663667460096,728,0,0,0
"N","","",0,0,0,0,0,"Vote for @NancyMace! Her opponent, Joe Cunningham, is a puppet for Nancy Pelosi and the Radical Left! #SC01 https://t.co/XCtZNrbrT6",191,"2020-10-31 15:07:06",24998,5565,"2020-10-31",1322555703626589952,724,0,0,0
"N","","",0,0,0,0,0,"Congressman (@JDanBishop) is doing a terrific job for North Carolina! In Congress, Dan fights to Create Jobs, Strengthen our Military, and Defend your Second Amendment. Dan has my Complete and Total Endorsement! #NC09 https://t.co/hj7CYPcFFL",122,"2020-10-31 15:07:12",21296,4691,"2020-10-31",1322555728750550016,520,0,0,0
"N","","",0,0,0,0,0,"Lisa McClain (@LisaForCongress) will be an incredible Congresswoman for Michigan! She is Strong on the Economy &amp; Jobs, Border Security, Infrastructure, our Military &amp; Vets, and the Second Amendment. Lisa has my Complete and Total Endorsement! #MI10 https://t.co/r2NokBwGfW",145,"2020-10-31 15:07:28",21818,5033,"2020-10-31",1322555795272169984,534,0,0,0
"N","","",0,0,0,0,0,"Scott Franklin (@ScottFranklinFL) will be an incredible Congressman for the State of Florida! A Navy Veteran, he will help us Lower your Taxes, Strengthen our Military and Defend your Second Amendment. Scott has my Complete and Total Endorsement! #FL15 https://t.co/RdZ1JPdJc6",108,"2020-10-31 15:07:33",20867,4589,"2020-10-31",1322555817934040064,569,0,0,0
"N","","",0,0,0,0,0,"Dr. Mariannette Miller-Meeks (@MillerMeeks) will do a great job in Congress for Iowa! A Doctor and Veteran, she will Deliver Great Health Care, Defend Life, and Protect your Second Amendment. Mariannette has my Complete and Total Endorsement! #IA02",292,"2020-10-31 15:07:49",43799,8818,"2020-10-31",1322555884988300032,1589,0,0,0
"N","","",0,0,0,0,0,"Blake Moore (@ElectBlakeMoore) will be a Great Congressman for Utah! He is Strong on Jobs &amp; the Economy, Healthcare, our Military &amp; Vets, and your Second Amendment. Blake has my Complete and Total Endorsement! #UT01 https://t.co/tj4Bx1rUuA",115,"2020-10-31 15:07:54",21074,4626,"2020-10-31",1322555905641100032,534,0,0,0
"N","","",0,0,0,0,0,".@DerrickVanOrden will be a terrific Congressman for Wisconsin! A former Navy SEAL, he will stand for Law &amp; Order, Jobs, the Wall, and he will always Protect Life and the Second Amendment. Derrick has my Complete and Total Endorsement! #WI03 https://t.co/wFd72N7LI9",136,"2020-10-31 15:07:59",23112,5146,"2020-10-31",1322555926570710016,582,0,0,0
"N","","",0,0,0,0,0,"Big Jim Justice (@JimJusticeWV) is a GREAT Governor of West Virginia! An experienced businessman, he Creates Jobs, Stands with Life, Defends the Second Amendment, and Loves our Coal Miners. Big Jim has my Complete and Total Endorsement! #WVGOV https://t.co/Qrtvs1crqm",177,"2020-10-31 15:08:04",25544,5526,"2020-10-31",1322555949123470080,778,0,0,0
"N","","",0,0,0,0,0,"We need Genevieve Collins (@GCForCongress) in Congress for Texas! She is Strong on Jobs &amp; the Economy, National Security and Education, and she will always Defend your Second Amendment. Genevieve has my Complete and Total Endorsement! #TX32 https://t.co/7YwS3ZwTQe",160,"2020-10-31 15:08:09",23860,5324,"2020-10-31",1322555970686350080,606,0,0,0
"N","","",0,0,0,0,0,".@CliffBentz will be a great Congressman for the people of Oregon! A Successful Rancher, he is Strong on Jobs &amp; the Economy, Trade, Law &amp; Order, our Military &amp; Vets, and your Second Amendment. Cliff has my Complete and Total Endorsement! #OR02 https://t.co/8779E6IPzx",159,"2020-10-31 15:08:21",22226,4925,"2020-10-31",1322556017301809920,588,0,0,0
"N","","",0,0,0,0,0,".@CheleFarley will be an incredible Congresswoman for the Great State of New York! An engineer and businesswoman, she is Strong on the Economy, Infrastructure, Law &amp; Order, and your Second Amendment. Chele has my Complete and Total Endorsement! #NY18 https://t.co/4NwXoQuozj",317,"2020-10-31 15:08:25",35116,7588,"2020-10-31",1322556034808910080,1132,0,0,0
"N","","",0,0,0,0,0,".@FrankPallottaNJ will be a great Congressman for the terrific people of New Jersey! He is Strong on the Economy &amp; Jobs, Low Taxes, the Military, our Brave Law Enforcement, and your Second Amendment. Frank has my Complete and Total Endorsement! #NJ05 https://t.co/ICVP3Nc6Cs",197,"2020-10-31 15:08:29",23590,5399,"2020-10-31",1322556052408169984,716,0,0,0
"N","","",0,0,0,0,0,"Steve Negron (@SteveNegronNH) will be a tireless advocate in Congress for the State of New Hampshire! An Air Force Veteran, he is Strong on the Economy, our Brave Law Enforcement and your Second Amendment. Steve has my Complete and Total Endorsement! #NH02 https://t.co/9Zq8LQXZkn",182,"2020-10-31 15:08:33",23622,5308,"2020-10-31",1322556070645040128,731,0,0,0
"N","","",0,0,0,0,0,".@JakeLaTurner will be a phenomenal Congressman for the people of Kansas! He will help us Lower your Taxes, Support our Brave Law Enforcement, Build the Wall, and Protect and Defend your Second Amendment. Jake has my Complete and Total Endorsement! #KS02 https://t.co/Nzpbh7DqUN",175,"2020-10-31 15:08:37",25154,5674,"2020-10-31",1322556087946510080,892,0,0,0
"N","","",0,0,0,0,0,"We need Esther Joy King (@Esther4Congress) in Congress for Illinois! She is a Strong Supporter of our #MAGA agenda and she’s running against a Total Fraud who the Democrats are now rushing to save. Esther has my Complete and Total Endorsement! #IL17 https://t.co/4A5uBGYmBf",254,"2020-10-31 15:08:42",27524,6504,"2020-10-31",1322556105558380032,1051,0,0,0
"N","","",0,0,0,0,0,".@Victoria_Spartz will be a terrific Congresswoman for Indiana. Working with me, she will Create Jobs, Lower Taxes, Deliver for our Farmers, and Protect and Defend your Second Amendment. Victoria has my Complete and Total Endorsement! #IN05 https://t.co/ka2L9jBKyq",263,"2020-10-31 15:08:47",27315,6001,"2020-10-31",1322556129369469952,1496,0,0,0
"N","","",0,0,0,0,0,"THANK YOU! #MAGA https://t.co/EEmSU6uPAy",21000,"2020-10-31 15:20:18",83131,17785,"2020-10-31",1322559026110980096,3780,0,0,0
"N","","",0,0,0,0,0,"Gallup: 56% of the U.S. is more satisfied with conditions now, even during a pandemic (we are rounding the turn!), than they were 4 years ago under Obama/Biden. Hasn’t been equaled in recent times!",18000,"2020-10-31 15:22:02",111741,21923,"2020-10-31",1322559460821270016,13193,0,0,0
"N","","",0,0,0,0,0,"Last night, our Country’s brave warriors rescued an American hostage in Nigeria. Our Nation salutes the courageous soldiers behind the daring nighttime rescue operation and celebrates the safe return of yet another American citizen!",62000,"2020-10-31 15:57:02",231901,45778,"2020-10-31",1322568272483480064,15332,0,0,0
"N","","",0,0,0,0,0,"Will be making a special speech in Pennsylvania at 12:30 P.M. Eastern!",15000,"2020-10-31 16:11:12",143271,19175,"2020-10-31",1322571837600110080,12382,0,0,0
"N","","",0,0,0,0,0,"Thank you Newtown, Pennsylvania! #MAGA 
https://t.co/0y7W5oRMom",375,"2020-10-31 18:36:08",44606,8632,"2020-10-31",1322608307484430080,1843,0,0,0
"N","","",0,0,0,0,0,"Pennsylvania is where the story of American Independence began – it is the state where the American Constitution was signed – and 3 days from now this is the state that will SAVE THE AMERICAN DREAM! A great RED WAVE is forming! https://t.co/gsFSghkmdM https://t.co/PussYXD40e",815,"2020-10-31 18:36:51",55484,12264,"2020-10-31",1322608491438159872,2795,0,0,0
"N","","",0,0,0,0,0,"I ran for office 4 years ago because I could not sit by &amp; watch any longer as a small group of Washington Insiders continued to get rich bleeding America Dry. No one embodies this betrayal &amp; treachery more than Joe Biden. Joe profited from the misery he unleashed on PA workers! https://t.co/2A9Ma5gCQX",24000,"2020-10-31 18:37:55",97448,23443,"2020-10-31",1322608756421789952,9391,0,0,0
"N","","",0,0,0,0,0,"Our ECONOMY is now surging back faster, better, bigger and stronger than any nation on earth. We just had the best quarter of ECONOMIC GROWTH EVER recorded - a 33.1% increase, and next year will be the GREATEST ECONOMIC YEAR in the history of our Country! https://t.co/gsFSghkmdM https://t.co/Kbyl4zVUWM",820,"2020-10-31 18:42:11",56511,12130,"2020-10-31",1322609833405760000,5392,0,0,0
"N","","",0,0,0,0,0,"Biden’s plan to Abolish American Energy is an economic DEATH SENTENCE for Pennsylvania. A vote for Biden is a vote to BAN FRACKING &amp; send PA into a nightmare of poverty &amp; depression. Gas prices would explode &amp; family incomes would plummet—I will always defend &amp; promote PA energy! https://t.co/tdYqMVWQGM",745,"2020-10-31 18:58:22",49630,12059,"2020-10-31",1322613905001230080,4723,0,0,0
"N","","",0,0,0,0,0,"Biden &amp; Obama owe a massive apology to the People of Flint. The water was poisoned on their watch. Not only did they fail them, Biden proudly accepted the endorsement of disastrous Gov Rick Snyder! Unlike Biden, I will always stand with the People of the Great State of MICHIGAN!",39000,"2020-10-31 19:07:38",163560,36602,"2020-10-31",1322616235423539968,20765,0,0,0
"N","","",0,0,0,0,0,"Thank you Reading, Pennsylvania!
https://t.co/ywpNmRgxqz",543,"2020-10-31 20:53:52",50584,9563,"2020-10-31",1322642970340780032,1958,0,0,0
"N","","",0,0,0,0,0,"3 days from now, we are going to win Pennsylvania! With your support, we will continue to bring back your jobs, and cut your taxes &amp; regulations. Biden would wipe out your factories, ship your jobs to China, raise your taxes, &amp; eliminate private healthcare!https://t.co/IjvKseSiTI",918,"2020-10-31 20:56:43",54151,12758,"2020-10-31",1322643687923279872,3773,0,0,0
"N","","",0,0,0,0,0,"We invested $2.5 TRILLION in the Military and we saved the Philly Shipyard. We passed VA Choice and VA Accountability. Al-Baghdadi and Soleimani are DEAD. I withdrew from the disastrous Iran Nuclear Deal—and instead of endless war, we are forging PEACE in the Middle East! https://t.co/Yz3ry24XHp",1000,"2020-10-31 21:26:20",61528,14174,"2020-10-31",1322651141134429952,4256,0,0,0
"N","","",0,0,0,0,0,"Over the next four years, we will stop the radical indoctrination of our students, and restore PATRIOTIC EDUCATION to our schools. We will teach our children to love our Country, honor our history, and always respect our great American Flag. https://t.co/gsFSgh2KPc https://t.co/RcQg0Vtk7V",81000,"2020-10-31 21:31:03",103344,24521,"2020-10-31",1322652327367510016,15624,0,0,0
"N","","",0,0,0,0,0,"We are ONE movement, ONE people, ONE family, and ONE GLORIOUS NATION UNDER GOD! Together with the incredible people of Pennsylvania, we will MAKE AMERICA GREAT AGAIN! 

#ElectionDay #MAGA🇺🇸 
https://t.co/gsFSgh2KPc https://t.co/7EwfCm23U7",28000,"2020-10-31 21:36:18",84491,19407,"2020-10-31",1322653650200590080,8265,0,0,0
"N","","",0,0,0,0,0,"Thank you to the wonderful @RJHarrisWHP580 for the nice words on @FoxNews. Tremendous enthusiasm in Pennsylvania, and everywhere else. The Great Red Wave is coming!",797,"2020-10-31 21:47:59",89218,15475,"2020-10-31",1322656588285410048,5188,0,0,0
"N","","",0,0,0,0,0,"Just signed an order to protect fracking and the oil and gas industry. This means JOBS, low energy bills, and continued AMERICAN ENERGY INDEPENDENCE! Sleepy Joe would BAN fracking and destroy American energy jobs! He has NO clue!!",42000,"2020-10-31 22:07:18",211768,42997,"2020-10-31",1322661450540809984,19574,0,0,0
"N","","",0,0,0,0,0,"Thank you Butler, Pennsylvania!
https://t.co/4bjYabvV6g",501,"2020-10-31 23:47:53",52876,9790,"2020-10-31",1322686763484280064,2430,0,0,0
"N","","",0,0,0,0,0,"For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory for our Country. A vote for me and the Republican Party is a vote for the American Dream! Get out and VOTE!
#Election2020 #MAGA🇺🇸 https://t.co/5EyXIHjfib",36000,"2020-10-31 23:51:29",142256,31833,"2020-10-31",1322687671072859904,8881,0,0,0
"N","","",0,0,0,0,0,"Over the next 4 years, we will make America into the Manufacturing Superpower of the World &amp; end our reliance on China. We will end surprise medical billing, require price transparency, lower drug prices even more, and we will always protect patients with pre-existing conditions! https://t.co/rXDakq3lp1",16000,"2020-10-31 23:52:33",85814,18799,"2020-10-31",1322687937570639872,7866,0,0,0
"N","","",0,0,0,0,0,"A vote for Biden and Harris is a vote to Ban Fracking, Ban Mining, and Completely Destroy Pennsylvania. A vote for me is a vote to remain ENERGY INDEPENDENT! Let’s WIN PENNSYLVANIA, get out and VOTE!
https://t.co/aR8iwO6Gvl",17000,"2020-11-01 0:13:24",70428,16700,"2020-11-01",1322693185663990016,7327,0,0,0
"N","","",0,0,0,0,0,"I LOVE TEXAS! https://t.co/EP7P3AvE8L",295000,"2020-11-01 0:41:14",347367,56776,"2020-11-01",1322700188624930048,110538,0,0,0
"N","","",0,0,0,0,0,"Thank you @albertmohler for your vote of confidence. You and I agree we can never compromise on Religious Liberty. #BeliversandBallots get to the polls and vote to protect Religious Liberty! https://t.co/MiucOF3KIs",546,"2020-11-01 0:51:21",46271,9872,"2020-11-01",1322702737029560064,3736,0,0,0
"N","","",0,0,0,0,0,"Thank you Montoursville, Pennsylvania! https://t.co/mvOazHnkoL",502,"2020-11-01 2:00:05",63114,11624,"2020-11-01",1322720031508179968,2591,0,0,0
"N","","",0,0,0,0,0,"Thank you Pennsylvania! With your vote, we will continue to support our Military, Veterans and our Police Officers. Biden and Harris would pass legislation to slash police funding all across America. They stand with the rioters – we stand with the HEROES of Law Enforcement! #MAGA https://t.co/qqTZPLqzFV",671,"2020-11-01 2:05:02",67166,12953,"2020-11-01",1322721277875049984,3664,0,0,0
"N","","",0,0,0,0,0,"Joe Biden has vowed to ABOLISH American Oil and Natural Gas. Today I signed an order to strongly protect Pennsylvania's energy &amp; fracking industry. If Biden &amp; Harris get in, they will terminate this order and implement the Green New Deal. Get out and VOTE! https://t.co/gsFSghkmdM https://t.co/VJMr2IeIgo",809,"2020-11-01 2:07:47",59678,14348,"2020-11-01",1322721970685920000,4288,0,0,0
"N","","",0,0,0,0,0,"Joe Biden has been a disaster for African Americans and Hispanic Americans—I am fighting for citizens of every race, color and creed. We achieved record low unemployment rates. I signed landmark Criminal Justice Reform, and we will deliver School Choice! https://t.co/gsFSghkmdM https://t.co/o6bZkdj4Fg",12000,"2020-11-01 2:09:37",75782,16813,"2020-11-01",1322722433921619968,8471,0,0,0
"N","","",0,0,0,0,0,"Trump Supporters Fill Streets of Beverly Hills: ‘The Silent Majority is Silenced No More‘ https://t.co/YKfqBM1Fbo via @BreitbartNews Thank you!",17000,"2020-11-01 3:47:08",80429,17862,"2020-11-01",1322746973443760128,5724,0,0,0
